SEASON,NAME,start_time,start_wind_speed,lat_start,lon_start,end_time,end_wind_speed,lat_end,lon_end,wind_speed_change,duration
1950,BAKER,8/28/1950 18:00,55,23.2,-87.5,8/29/1950 18:00,85,24.1,-88.4,30,24
1950,ITEM,10/9/1950 0:00,45,22.4,-92.2,10/10/1950 0:00,75,20.5,-94.3,30,24
1950,KING,10/17/1950 0:00,75,21.1,-78.2,10/18/1950 0:00,105,24.7,-79.8,30,24
1951,CHARLIE,8/18/1951 21:00,77,18.7497,-81.5726,8/19/1951 21:00,107,20.0116,-86.1732,30,24
1951,CHARLIE,8/21/1951 18:00,65,21.6,-94.3,8/22/1951 18:00,100,22.2,-97.5,35,24
1952,FOX,10/22/1952 3:00,52,17.0725,-82.015,10/23/1952 3:00,85,17.7425,-82,33,24
1952,FOX,10/23/1952 3:00,85,17.7425,-82,10/23/1952 18:00,115,18.8,-82,30,15
1953,FLORENCE,9/24/1953 6:00,50,18.9,-82.5,9/25/1953 6:00,80,23.4,-87,30,24
1953,HAZEL,10/8/1953 12:00,45,22.7,-86,10/9/1953 12:00,75,26.2,-83.3,30,24
1954,ALICE,6/24/1954 12:00,50,22.2,-93.7,6/25/1954 6:00,80,24.2,-96.3,30,18
1955,BRENDA,7/31/1955 6:00,30,27.5,-87.5,8/1/1955 0:00,60,28.2,-88.4,30,18
1955,GLADYS,9/4/1955 9:00,27,20.37,-95.0224,9/5/1955 9:00,57,22.8,-96.7425,30,24
1955,HILDA,9/14/1955 15:00,50,20.0298,-78.4574,9/15/1955 9:00,82,19.1326,-82.8215,32,18
1955,HILDA,9/17/1955 12:00,55,20.8,-91.1,9/18/1955 12:00,85,21.5,-94.2,30,24
1955,JANET,9/26/1955 21:00,105,15.5631,-78.3916,9/27/1955 15:00,135,17.2771,-82.9847,30,18
1956,ANNA,7/25/1956 18:00,30,20.8,-92.5,7/26/1956 12:00,65,21.4,-95.6,35,18
1956,FLOSSY,9/22/1956 18:00,40,22.6,-90.7,9/23/1956 18:00,70,27.1,-91.3,30,24
1957,AUDREY,6/24/1957 18:00,35,21.2,-93.1,6/25/1957 18:00,65,22.6,-93.5,30,24
1957,AUDREY,6/26/1957 12:00,80,24.8,-93.7,6/27/1957 12:00,110,29.3,-93.8,30,24
1957,BERTHA,8/8/1957 0:00,25,27,-87.4,8/9/1957 0:00,55,27.5,-89.9,30,24
1959,DEBRA,7/23/1959 12:00,30,28.2,-92.9,7/24/1959 12:00,65,28.3,-95,35,24
1959,JUDITH,10/17/1959 0:00,25,19.8,-84.8,10/18/1959 0:00,55,25,-84,30,24
1960,ETHEL,9/13/1960 6:00,30,22.4,-92.4,9/14/1960 6:00,60,23.4,-91.3,30,24
1960,ETHEL,9/14/1960 6:00,60,23.4,-91.3,9/14/1960 15:00,90,24.6751,-90.4231,30,9
1961,CARLA,9/5/1961 12:00,45,16.3,-82.7,9/6/1961 12:00,75,18.7,-85.1,30,24
