NAME,SEASON
BAKER,1950
ITEM,1950
KING,1950
CHARLIE,1951
FOX,1952
FLORENCE,1953
HAZEL,1953
ALICE,1954
BRENDA,1955
GLADYS,1955
HILDA,1955
JANET,1955
ANNA,1956
FLOSSY,1956
AUDREY,1957
BERTHA,1957
DEBRA,1959
JUDITH,1959
ETHEL,1960
CARLA,1961
HATTIE,1961
SIMONE,1961
ABBY,1964
CLEO,1964
HILDA,1964
ISBELL,1964
ALMA,1966
INEZ,1966
BEULAH,1967
FERN,1967
CANDY,1968
CAMILLE,1969
FRANCELIA,1969
LAURIE,1969
ALMA,1970
CELIA,1970
ELLA,1970
FERN,1971
EDITH,1971
BRENDA,1973
DELIA,1973
GILDA,1973
CARMEN,1974
FIFI:ORLENE,1974
CAROLINE,1975
ELOISE,1975
ANITA,1977
BOB,1979
FREDERIC,1979
HENRI,1979
ALLEN,1980
JEANNE,1980
KATRINA,1981
ALBERTO,1982
ALICIA,1983
BARRY,1983
DANNY,1985
ELENA,1985
DEBBY,1988
GILBERT,1988
KEITH,1988
CHANTAL,1989
DIANA,1990
GERT,1993
ALLISON,1995
ERIN,1995
OPAL,1995
ROXANNE,1995
DOLLY,1996
JOSEPHINE,1996
DANNY,1997
CHARLEY,1998
EARL,1998
MITCH,1998
BRET,1999
IRENE,1999
LENNY,1999
GORDON,2000
HELENE,2000
KEITH,2000
IRIS,2001
MICHELLE,2001
EDOUARD,2002
ISIDORE,2002
LILI,2002
BONNIE,2004
CHARLEY,2004
CINDY,2005
DENNIS,2005
EMILY,2005
KATRINA,2005
RITA,2005
STAN,2005
WILMA,2005
HUMBERTO,2007
LORENZO,2007
DOLLY,2008
GUSTAV,2008
MARCO,2008
PALOMA,2008
IDA,2009
KARL,2010
PAULA,2010
RINA,2011
ERNESTO,2012
FRANKLIN,2017
HARVEY,2017
KATIA,2017
NATE,2017
GORDON,2018
MICHAEL,2018
HANNA,2020
LAURA,2020
GAMMA,2020
DELTA,2020
ZETA,2020
GRACE,2021
IDA,2021
IAN,2022
